Category,Name,Description,RSS Feed URL,Website,IG Followers,Notes
Black News,TheGrio,African-American community news: US world entertainment politics health,https://thegrio.com/feed/,https://thegrio.com,447K,
Black News,The Root,Digital magazine with unflinching Black perspectives,https://www.theroot.com/rss,https://www.theroot.com,611.8K,
Black News,Atlanta Black Star,Narrative company publishing content for the Black community,https://atlantablackstar.com/feed/,https://atlantablackstar.com,302.8K,
Black News,NewsOne,News and info for and about Blacks in America,https://newsone.com/feed/,https://newsone.com,68K,
Black News,Black America Web,One stop for all things Black America,https://blackamericaweb.com/feed/,https://blackamericaweb.com,442.7K,
Black News,Black Enterprise,Business insights and finance for Black entrepreneurs,https://www.blackenterprise.com/feed/,https://www.blackenterprise.com,997.7K,
Black News,AllAfrica,Aggregates 600+ news items daily from 100+ African news orgs,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf,https://allafrica.com,-,Pan-African
Black News,Africanews,Breaking news politics business sports health tech in Africa,https://www.africanews.com/feed/,https://www.africanews.com,66.8K,
Black News,Face2Face Africa,Premier Pan-African voice covering politics business lifestyle,https://face2faceafrica.com/feed,https://face2faceafrica.com,136.3K,
Black News,AFRO News,Oldest Black newspaper founded 1892,https://afro.com/feed/,https://afro.com,23.4K,
Black News,Black News,Daily news for African American professionals since 2000,https://blacknews.com/feed/,https://blacknews.com,-,
Black News,Black Agenda Report,News commentary and analysis from the black left,https://blackagendareport.com/rss-feed,https://www.blackagendareport.com,-,
Black News,Rolling Out,Urban lifestyle entertainment and music,https://rollingout.com/feed/,https://rollingout.com,159.9K,
Black News,The Washington Informer,Black woman-owned multimedia serving African Americans in DMV,https://www.washingtoninformer.com/feed/,https://www.washingtoninformer.com,44.8K,
Black News,New York Amsterdam News,NYC's oldest Black newspaper,https://amsterdamnews.com/feed/,https://amsterdamnews.com,-,
Black News,Houston Defender Network,Leading Black news source in Greater Houston,https://defendernetwork.com/feed/,https://defendernetwork.com,13.2K,
Black News,The South African,Independent online news platform covering South Africa,https://www.thesouthafrican.com/feed/,https://www.thesouthafrican.com,12.9K,
Black News,Good Black News,Positive news about Black people worldwide,https://goodblacknews.org/feed/,https://goodblacknews.org,20.2K,
Black News,Black Information Network,24/7 national audio Black News service,-,https://www.binnews.com,-,Audio-focused
Black Entertainment,BET,Black Entertainment Television network,https://www.bet.com/rss,https://www.bet.com,4.1M,Part of Paramount
Black Entertainment,Global Grind,Arts and entertainment for urban millennials,https://globalgrind.com/feed/,https://globalgrind.com,223.8K,
Black Entertainment,MadameNoire,Lifestyle for Black women launched 2010,https://madamenoire.com/feed/,https://madamenoire.com,120.4K,
Black Entertainment,VIBE Magazine,Leading entertainment and lifestyle brand for Black culture,https://www.vibe.com/feed/,https://www.vibe.com,372.2K,
Black Entertainment,HBCU Buzz,HBCU news and insights since 2011,https://hbcubuzz.com/feed/,https://hbcubuzz.com,565.3K,
Black Entertainment,Urban Belle Magazine,Black celebrity news and culture,https://urbanbellemag.com/feed/,https://urbanbellemag.com,51K,
Black Entertainment,BCK Online,Black celebrity news gossip parenting,https://bckonline.com/feed/,https://bckonline.com,843.2K,
Black Entertainment,InClub Magazine,Black-owned hottest Black entertainment news,https://inclubmagazine.com/feed/,https://inclubmagazine.com,61.9K,
Black Entertainment,EBONY,Iconic magazine spotlighting Black people in America and worldwide,-,https://www.ebony.com,-,Legacy brand
Black Entertainment,Essence,Major lifestyle brand for Black women,-,https://www.essence.com,-,
Gossip & Celebrity,The Shade Room,#1 Black-owned independent media company celebrity news,https://theshaderoom.com/feed/,https://theshaderoom.com,28.2M,MUST HAVE
